name,alias,status
 MS SQL,ms-sql-jobs,0
 Crystal Report,crystal-report-jobs,0
Office Assistant/field executive,office-assistant-field-executive-jobs,0
Governess cum housekeeping,governess-cum-housekeeping-jobs,0
Part Time Job,part-time-job-jobs,0
Sr. Sales Executive,sr-sales-executive-jobs,0
Head Brand Marketing,head-brand-marketing-jobs,0
MIS Executive / Back Office Executive,mis-executive-back-office-executive-jobs,0
 dispatch,dispatch-jobs,0
 Distribution Center Operations,distribution-center-operations-jobs,0
 Warehouse Management Systems,warehouse-management-systems-jobs,0
 Forwarding,forwarding-jobs,0
 LTL Shipping,ltl-shipping-jobs,0
 FTL,ftl-jobs,0
 Truckload Shipping,truckload-shipping-jobs,0
 Flatbed,flatbed-jobs,0
 H2S,h2s-jobs,0
 Hazard Recognition,hazard-recognition-jobs,0
 Behavior Based Safety,behavior-based-safety-jobs,0
Distribution Center Operations,distribution-center-operations-jobs,0
Warehouse Management Systems,warehouse-management-systems-jobs,0
Forwarding,forwarding-jobs,0
LTL Shipping,ltl-shipping-jobs,0
FTL,ftl-jobs,0
Truckload Shipping,truckload-shipping-jobs,0
Flatbed,flatbed-jobs,0
H2S,h2s-jobs,0
Hazard Recognition,hazard-recognition-jobs,0
Behavior Based Safety,behavior-based-safety-jobs,0
dispatch,dispatch-jobs,0
Customer Satisfaction,customer-satisfaction-jobs,0
 stores,stores-jobs,0
 Shrinkage,shrinkage-jobs,0
 New Store Openings,new-store-openings-jobs,0
 Big Box,big-box-jobs,0
 Driving Results,driving-results-jobs,0
 New Store Development,new-store-development-jobs,0
 Associate Development,associate-development-jobs,0
 Planograms,planograms-jobs,0
 District Management,district-management-jobs,0
 Program Planning,program-planning-jobs,0
 medical administration,medical-administration-jobs,0
 care,care-jobs,0
 step,step-jobs,0
 linen,linen-jobs,0
 programmes,programmes-jobs,0
 Healthcare Management,healthcare-management-jobs,0
 Laundry Services,laundry-services-jobs,0
 Maid Service,maid-service-jobs,0
 House Sitting,house-sitting-jobs,0
 Ironing,ironing-jobs,0
 House Management,house-management-jobs,0
visit,visit-jobs,0
 running,running-jobs,0
 Paraview,paraview-jobs,0
 Tecplot,tecplot-jobs,0
 OpenMP,openmp-jobs,0
 MPI,mpi-jobs,0
 Parallel Computing,parallel-computing-jobs,0
 Numerical Simulation,numerical-simulation-jobs,0
 Fluid Dynamics,fluid-dynamics-jobs,0
 COMSOL,comsol-jobs,0
 Trail Running,trail-running-jobs,0
 Triathlon,triathlon-jobs,0
 Marathon,marathon-jobs,0
 Long Distance Running,long-distance-running-jobs,0
stores,stores-jobs,0
Shrinkage,shrinkage-jobs,0
New Store Openings,new-store-openings-jobs,0
Big Box,big-box-jobs,0
Driving Results,driving-results-jobs,0
New Store Development,new-store-development-jobs,0
Associate Development,associate-development-jobs,0
Planograms,planograms-jobs,0
District Management,district-management-jobs,0
Program Planning,program-planning-jobs,0
running,running-jobs,0
Paraview,paraview-jobs,0
Tecplot,tecplot-jobs,0
OpenMP,openmp-jobs,0
MPI,mpi-jobs,0
Parallel Computing,parallel-computing-jobs,0
Numerical Simulation,numerical-simulation-jobs,0
Fluid Dynamics,fluid-dynamics-jobs,0
COMSOL,comsol-jobs,0
Trail Running,trail-running-jobs,0
Triathlon,triathlon-jobs,0
Marathon,marathon-jobs,0
Long Distance Running,long-distance-running-jobs,0
Laundry Services,laundry-services-jobs,0
Maid Service,maid-service-jobs,0
House Sitting,house-sitting-jobs,0
Ironing,ironing-jobs,0
House Management,house-management-jobs,0
medical administration,medical-administration-jobs,0
care,care-jobs,0
step,step-jobs,0
linen,linen-jobs,0
joining,joining-jobs,0
attendance,attendance-jobs,0
programmes,programmes-jobs,0
Healthcare Management,healthcare-management-jobs,0
Delivery Rider,delivery-rider-jobs,0
B. Tech mechanical engineering fresher,b-tech-mechanical-engineering-fresher-jobs,0
Mechanic diesel,mechanic-diesel-jobs,0
Senior SEO Analyst,senior-seo-analyst-jobs,0
DELIEVERY BOY,delievery-boy-jobs,0
Engineer- Aftermarket Sales,engineer-aftermarket-sales-jobs,0
Purchase Order Entry,purchase-order-entry-jobs,0
Shipment Tracking,shipment-tracking-jobs,0
MS Tools,ms-tools-jobs,0
Housekeeping supervisore,housekeeping-supervisore-jobs,0
I will  do my work sencerley,i-will-do-my-work-sencerley-jobs,0
PURCHASE AND STORES INCHARGE,purchase-and-stores-incharge-jobs,0
"CCTV Technician,door phone technition",cctv-technician-door-phone-technition-jobs,0
any other job,any-other-job-jobs,0
CAD graphic and Textile designer(print),cad-graphic-and-textile-designerprint-jobs,0
delivery boy(food),delivery-boyfood-jobs,0
"Civil Engineer, quantity surveyor",civil-engineer-quantity-surveyor-jobs,0
"Relationship Manager, financial anaylist",relationship-manager-financial-anaylist-jobs,0
purchase and vendor development,purchase-and-vendor-development-jobs,0
Assistant Manager Cargo Operations and Customer Service,assistant-manager-cargo-operations-and-customer-service-jobs,0
Delhivery Job,delhivery-job-jobs,0
M.com,mcom-jobs,0
Order and production coordinator,order-and-production-coordinator-jobs,0
Supervisor(Labour),supervisorlabour-jobs,0
BTech,btech-jobs,0
Sales and service coordinator,sales-and-service-coordinator-jobs,0
Cashier billing,cashier-billing-jobs,0
Sr. Production Engineer,sr-production-engineer-jobs,0
H/K Supervisor,h-k-supervisor-jobs,0
Elecrician,elecrician-jobs,0
Flipkart franchise please help me sir please,flipkart-franchise-please-help-me-sir-please-jobs,0
 Telly Calling,telly-calling-jobs,0
Office Executive / Customer Relation Officer,office-executive-customer-relation-officer-jobs,0
M.S.Office,msoffice-jobs,0
Engineer with exp in Projects in managing team,engineer-with-exp-in-projects-in-managing-team-jobs,0
Indian,indian-jobs,0
Engineer electrical,engineer-electrical-jobs,0
Actor job,actor-job-jobs,0
Hard working,hard-working-jobs,0
None,none-jobs,0
Telly Calling,telly-calling-jobs,0
Hotel industry (meeting a variety of guests),hotel-industry-meeting-a-variety-of-guests-jobs,0
seles executive,seles-executive-jobs,0
Junior lab associate,junior-lab-associate-jobs,0
Dilivery boy,dilivery-boy-jobs,0
"Business Development Executive, Business Analyst",business-development-executive-business-analyst-jobs,0
"Hr Executive, business analyst, business development executive,",hr-executive-business-analyst-business-development-executive-jobs,0
Flipkart delivery boy,flipkart-delivery-boy-jobs,0
India,india-jobs,0
Tl,tl-jobs,0
Neeraj Giri,neeraj-giri-jobs,0
Private Driver computer hardware,private-driver-computer-hardware-jobs,0
Makeup Artist Or Beautician,makeup-artist-or-beautician-jobs,0
Software tester engineer,software-tester-engineer-jobs,0
3 years expirans,3-years-expirans-jobs,0
"Teacher, HR recruiter, Front desk executive",teacher-hr-recruiter-front-desk-executive-jobs,0
"Hr Administration,Admin Manager",hr-administration-admin-manager-jobs,0
"Hindi Typing, data entry,",hindi-typing-data-entry-jobs,0
Stores in charge,stores-in-charge-jobs,0
HVAC mechanical engineer,hvac-mechanical-engineer-jobs,0
 Prestashop,prestashop-jobs,0
 Zen Cart,zen-cart-jobs,0
 Open Cart,open-cart-jobs,0
 Laravel Developer,laravel-developer-jobs,0
 MVC Framework,mvc-framework-jobs,0
 Fuel Php,fuel-php-jobs,0
 HMVC Framework,hmvc-framework-jobs,0
 Php Programmer,php-programmer-jobs,0
 Symfony,symfony-jobs,0
 Phalcon,phalcon-jobs,0
 Joomla Developer,joomla-developer-jobs,0
 Core PHP,core-php-jobs,0
 zencart,zencart-jobs,0
 Joomla,joomla-jobs,0
 Area Sales Officer,area-sales-officer-jobs,0
 Territory Sales Manager,territory-sales-manager-jobs,0
 Angularjs Developer,angularjs-developer-jobs,0
Male,male-jobs,0
 Payment gateway,payment-gateway-jobs,0
Women garment pattern & cutting master,women-garment-pattern-and-cutting-master-jobs,0
Senior sales consultant,senior-sales-consultant-jobs,0
 SEO Analyst,seo-analyst-jobs,0
 SEO Manager,seo-manager-jobs,0
 Digital Marketing Consultant,digital-marketing-consultant-jobs,0
Graphic Designer DTP,graphic-designer-dtp-jobs,0
 Coral Draw,coral-draw-jobs,0
 Indesign,indesign-jobs,0
Ac technition,ac-technition-jobs,0
"Junior accountant, account assistant",junior-accountant-account-assistant-jobs,0
"Junior accountant, account assistant, Office assistance or Any",junior-accountant-account-assistant-office-assistance-or-any-jobs,0
high communication skills,high-communication-skills-jobs,0
.,jobs,0
Hospital staff,hospital-staff-jobs,0
MSc biochemistry,msc-biochemistry-jobs,0
 PPC Analyst,ppc-analyst-jobs,0
Picker packer inward,picker-packer-inward-jobs,0
"Process Engineer, Manager",process-engineer-manager-jobs,0
