name,alias,status
Junior Legal Officer,junior-legal-officer-jobs,1
Legal Department,legal-department-jobs,1
Legal Assistant,legal-assistant-jobs,1
Advisor,advisor-jobs,1
Legal Executive,legal-executive-jobs,1
Sales,sales-jobs,1
Insurance Advisor,insurance-advisor-jobs,1
Lic Advisor,lic-advisor-jobs,1
Lic Agent,lic-agent-jobs,1
Automobile Spare Parts Sales,automobile-spare-parts-sales-jobs,1
Sales Executive,sales-executive-jobs,1
Field Executive,field-executive-jobs,1
Spare Parts Sales,spare-parts-sales-jobs,1
Area Sales Manager,area-sales-manager-jobs,1
Sales Manager,sales-manager-jobs,1
Salesman,salesman-jobs,1
Sales Officer,sales-officer-jobs,1
Sales Coordinator,sales-coordinator-jobs,1
Salesgirl,salesgirl-jobs,1
Auto Parts Sales,auto-parts-sales-jobs,1
Auto Parts,auto-parts-jobs,1
Regional Sales Manager,regional-sales-manager-jobs,1
Sales Development Manager,sales-development-manager-jobs,1
First Sales Manger,first-sales-manger-jobs,1
Field Sales,field-sales-jobs,1
Sales Coordination,sales-coordination-jobs,1
Sales Representative,sales-representative-jobs,1
Primary And Secondary Sales,primary-and-secondary-sales-jobs,1
Sales & Purchase Executive,sales-and-purchase-executive-jobs,1
Channel Sales,channel-sales-jobs,1
CSD CPC Sales,csd-cpc-sales-jobs,1
Sales & Service Head,sales-and-service-head-jobs,1
Sales Accountant,sales-accountant-jobs,1
Sr Sales Officer,sr-sales-officer-jobs,1
Sales BD,sales-bd-jobs,1
Sales Promoter,sales-promoter-jobs,1
Sales Operater,sales-operater-jobs,1
Senior Sales Manager,senior-sales-manager-jobs,1
Sales Boy,sales-boy-jobs,1
Sales Office Coordinator,sales-office-coordinator-jobs,1
Sales FMCG,sales-fmcg-jobs,1
Sr Sales Manager,sr-sales-manager-jobs,1
Field Sales Officer,field-sales-officer-jobs,1
Textile Sales Executive,textile-sales-executive-jobs,1
Direct Sales,direct-sales-jobs,1
Customer Sales Executive,customer-sales-executive-jobs,1
Area Sales Officer,area-sales-officer-jobs,1
Sales Finance,sales-finance-jobs,1
Export Sales Manager,export-sales-manager-jobs,1
Sales Incharge,sales-incharge-jobs,1
B2B Sales,b2b-sales-jobs,1
Corporate Sales Manager,corporate-sales-manager-jobs,1
Associate Sales Manager,associate-sales-manager-jobs,1
Corporate Sales Executive,corporate-sales-executive-jobs,1
Sales Operations Executive,sales-operations-executive-jobs,1
Business Sales Associate,business-sales-associate-jobs,1
Professional Sales Officer,professional-sales-officer-jobs,1
Presales,presales-jobs,1
Team Sales Manager,team-sales-manager-jobs,1
National Sales Manager,national-sales-manager-jobs,1
Domestic Sales Executive,domestic-sales-executive-jobs,1
Export Sales,export-sales-jobs,1
Operation Sales,operation-sales-jobs,1
Mechanical Sales,mechanical-sales-jobs,1
Unit Sales Manager,unit-sales-manager-jobs,1
Sales Associates,sales-associates-jobs,1
Distribution Channel Sales,distribution-channel-sales-jobs,1
Zonal Sales Manager,zonal-sales-manager-jobs,1
Inside Sales Engineer,inside-sales-engineer-jobs,1
Insurance Sales,insurance-sales-jobs,1
District Sales Manager,district-sales-manager-jobs,1
Regional Sales  Manager,regional-sales-manager-jobs,1
General Sales Manager,general-sales-manager-jobs,1
Loan Sales Executive,loan-sales-executive-jobs,1
Finance Sales Executive,finance-sales-executive-jobs,1
Supplier Coordination,supplier-coordination-jobs,1
Sales Support,sales-support-jobs,1
AGM Sales,agm-sales-jobs,1
Industrial Sales,industrial-sales-jobs,1
Dispatch Coordination,dispatch-coordination-jobs,1
Report Generation,report-generation-jobs,1
Sales Trainer,sales-trainer-jobs,1
Insurance Trainer,insurance-trainer-jobs,1
Assistant Supervisor,assistant-supervisor-jobs,1
Contractor Supervisor,contractor-supervisor-jobs,1
Sales Person,sales-person-jobs,1
Sales Supervisor,sales-supervisor-jobs,1
Sales Head,sales-head-jobs,1
Sr Sales Executive,sr-sales-executive-jobs,1
Team Leader Sales,team-leader-sales-jobs,1
Retail Sales Manager,retail-sales-manager-jobs,1
Corporate Sales,corporate-sales-jobs,1
Assistant Sales Manager,assistant-sales-manager-jobs,1
Assistant General Manager,assistant-general-manager-jobs,1
Inside Sales,inside-sales-jobs,1
Catering Sales,catering-sales-jobs,1
Channel Sales Executive,channel-sales-executive-jobs,1
Insurance Agent,insurance-agent-jobs,1
Supplier,supplier-jobs,1
Territory Manager,territory-manager-jobs,1
Deputy Manager,deputy-manager-jobs,1
Agency Manager,agency-manager-jobs,1
Spare Parts Manager,spare-parts-manager-jobs,1
Sales & Marketing Executive,sales-and-marketing-executive-jobs,1
General Manager,general-manager-jobs,1
Regional Manager,regional-manager-jobs,1
Regional Head,regional-head-jobs,1
Outlet Sales,outlet-sales-jobs,1
Health Insurance,health-insurance-jobs,1
Centre Head,centre-head-jobs,1
Zonal Manager,zonal-manager-jobs,1
Zonal Head,zonal-head-jobs,1
Channel Associate,channel-associate-jobs,1
Inside Sales Executive,inside-sales-executive-jobs,1
Sales And Marketing Executive,sales-and-marketing-executive-jobs,1
Senior Sales Executive,senior-sales-executive-jobs,1
Country Head,country-head-jobs,1
Field Sales Executive,field-sales-executive-jobs,1
Franchise Manager,franchise-manager-jobs,1
Sales Engineer,sales-engineer-jobs,1
Franchise Head,franchise-head-jobs,1
Franchise Acquisition Executive,franchise-acquisition-executive-jobs,1
Direct Sales Agent,direct-sales-agent-jobs,1
Direct Sales Executive,direct-sales-executive-jobs,1
Franchise Development,franchise-development-jobs,1
Senior Manager,senior-manager-jobs,1
Key Accounts Executive,key-accounts-executive-jobs,1
Territory Sales Manager,territory-sales-manager-jobs,1
Unit Manager,unit-manager-jobs,1
Sale & Purchase,sale-and-purchase-jobs,1
Presales Executive,presales-executive-jobs,1
Loan Sales,loan-sales-jobs,1
Professional Loan Sales,professional-loan-sales-jobs,1
Personal Loan Sales,personal-loan-sales-jobs,1
Education Loan Sales,education-loan-sales-jobs,1
Home Loan Sales,home-loan-sales-jobs,1
Business Loan Sales,business-loan-sales-jobs,1
Consumer Loan Sales,consumer-loan-sales-jobs,1
Telecom Sales,telecom-sales-jobs,1
Automobile,automobile-jobs,1
Auto Mechanic,auto-mechanic-jobs,1
Denting Painting,denting-painting-jobs,1
Automobile Mechanic,automobile-mechanic-jobs,1
Automobile Maintenance,automobile-maintenance-jobs,1
Automobile Work,automobile-work-jobs,1
Automobile Supervisor,automobile-supervisor-jobs,1
Automobile Technician,automobile-technician-jobs,1
Auto Parts Packaging,auto-parts-packaging-jobs,1
Automobile Parts Maker,automobile-parts-maker-jobs,1
AC Car Technician,ac-car-technician-jobs,1
Auto Rickshaw Mechanic,auto-rickshaw-mechanic-jobs,1
Car Mechanic,car-mechanic-jobs,1
Surveyor & Loss Assessor,surveyor-and-loss-assessor-jobs,1
Automotive Wiring,automotive-wiring-jobs,1
Automobile Wiring,automobile-wiring-jobs,1
Automobile Service Mechanic,automobile-service-mechanic-jobs,1
Car Painter,car-painter-jobs,1
Automobile Production Engineer,automobile-production-engineer-jobs,1
Automotive Quality Control,automotive-quality-control-jobs,1
Automobile Mechanic Helper,automobile-mechanic-helper-jobs,1
Motorcycle Mechanic,motorcycle-mechanic-jobs,1
Automotive Quality Maintenance,automotive-quality-maintenance-jobs,1
Automotive Quality Inspection,automotive-quality-inspection-jobs,1
Automobile Maintenance Engineer,automobile-maintenance-engineer-jobs,1
Automobile Repairing,automobile-repairing-jobs,1
Automobile Assembly,automobile-assembly-jobs,1
Petrol Engine Mechanic,petrol-engine-mechanic-jobs,1
Diesel Engine Mechanic,diesel-engine-mechanic-jobs,1
Automobile Electrician,automobile-electrician-jobs,1
Automobile Electric Maintenance,automobile-electric-maintenance-jobs,1
UniGraphics NX,unigraphics-nx-jobs,1
Autocad 2D &3D,autocad-2d-and-3d-jobs,1
Automobile Engine Inspection,automobile-engine-inspection-jobs,1
Automotive Product Design,automotive-product-design-jobs,1
Automobile Parts Assembly,automobile-parts-assembly-jobs,1
Autocad,autocad-jobs,1
Automobile Designer,automobile-designer-jobs,1
Car Painting,car-painting-jobs,1
Bike Ignition Switch Maker,bike-ignition-switch-maker-jobs,1
Car Ignition Switch Maker,car-ignition-switch-maker-jobs,1
Auto Component,auto-component-jobs,1
Car Denting & Painting,car-denting-and-painting-jobs,1
Truck Mechanic,truck-mechanic-jobs,1
Automobile Trainer,automobile-trainer-jobs,1
Auto Electrician,auto-electrician-jobs,1
Automobile Machine Operator,automobile-machine-operator-jobs,1
Autocad Designer,autocad-designer-jobs,1
3d Designer,3d-designer-jobs,1
2D Designer,2d-designer-jobs,1
Petrol Engine Machine,petrol-engine-machine-jobs,1
Truck Technician,truck-technician-jobs,1
Automobile Painting,automobile-painting-jobs,1
Automobile  Service Engineer,automobile-service-engineer-jobs,1
Automobile Worker,automobile-worker-jobs,1
Automobile Loan Provider,automobile-loan-provider-jobs,1
Automoblie Machenic,automoblie-machenic-jobs,1
Automobile Finance Worker,automobile-finance-worker-jobs,1
Automobile Packer,automobile-packer-jobs,1
Automobile  Electrician,automobile-electrician-jobs,1
Automobile Operator,automobile-operator-jobs,1
Automobile Quality Checker,automobile-quality-checker-jobs,1
Mechanical Quality Inspection,mechanical-quality-inspection-jobs,1
Automobiles Manager,automobiles-manager-jobs,1
Automobile  Technician,automobile-technician-jobs,1
Automobile ITI,automobile-iti-jobs,1
Automobile Engineering,automobile-engineering-jobs,1
Designing Automobile Engineer,designing-automobile-engineer-jobs,1
Automobile Production Supervisor,automobile-production-supervisor-jobs,1
Auto Parts Production,auto-parts-production-jobs,1
Automobile Service Trainer,automobile-service-trainer-jobs,1
Automoblie Supervisor,automoblie-supervisor-jobs,1
Automobile AC Technician,automobile-ac-technician-jobs,1
Automotive Electrician,automotive-electrician-jobs,1
Generator Repair,generator-repair-jobs,1
Automotive Service Technician,automotive-service-technician-jobs,1
Bike Spare Parts Maker,bike-spare-parts-maker-jobs,1
Autocad Operator,autocad-operator-jobs,1
Automobile Service Advisor,automobile-service-advisor-jobs,1
Automobile Engineer,automobile-engineer-jobs,1
Automobile Service Incharge,automobile-service-incharge-jobs,1
Mechanic,mechanic-jobs,1
Lift Mechanic,lift-mechanic-jobs,1
Shocker Mechanic,shocker-mechanic-jobs,1
Cycle Mechanic,cycle-mechanic-jobs,1
Machine Mechanic,machine-mechanic-jobs,1
Engine Mechanic,engine-mechanic-jobs,1
Thread Machine Mechanic,thread-machine-mechanic-jobs,1
AC Mechanic,ac-mechanic-jobs,1
Single Needle Machine Mechanic,single-needle-machine-mechanic-jobs,1
Double Needle Machine Mechanic,double-needle-machine-mechanic-jobs,1
Mechanic Helper,mechanic-helper-jobs,1
Mechanic Fitter,mechanic-fitter-jobs,1
Stitching Machine Mechanic,stitching-machine-mechanic-jobs,1
Fan Mechanic,fan-mechanic-jobs,1
Bus Mechanic,bus-mechanic-jobs,1
Gas Mechanic,gas-mechanic-jobs,1
Injection Molding Machine Mechanic,injection-molding-machine-mechanic-jobs,1
Bike Repairing Mechanic,bike-repairing-mechanic-jobs,1
Generator Mechanic,generator-mechanic-jobs,1
Overlock Machine Mechanic,overlock-machine-mechanic-jobs,1
Filter Mechanic,filter-mechanic-jobs,1
CNC Machine Mechanic,cnc-machine-mechanic-jobs,1
Moulding Machine Mechanic,moulding-machine-mechanic-jobs,1
Diesel Mechanic Generator,diesel-mechanic-generator-jobs,1
Crane Mechanic,crane-mechanic-jobs,1
Radio Mechanic,radio-mechanic-jobs,1
Motor Mechanic,motor-mechanic-jobs,1
JCB Mechanic,jcb-mechanic-jobs,1
Engine Petrol Mechanic,engine-petrol-mechanic-jobs,1
Lift Fitter,lift-fitter-jobs,1
AC Trainer,ac-trainer-jobs,1
Car Cleaner,car-cleaner-jobs,1
Hydraulic Mechanic,hydraulic-mechanic-jobs,1
Stove Mechanic,stove-mechanic-jobs,1
Door Lock,door-lock-jobs,1
Sewing Machine Mechanic,sewing-machine-mechanic-jobs,1
Generator Engineer,generator-engineer-jobs,1
Electric Motor Repair,electric-motor-repair-jobs,1
Lift Operator,lift-operator-jobs,1
Mechanical Helper,mechanical-helper-jobs,1
Machine Designing,machine-designing-jobs,1
Helmet Maker,helmet-maker-jobs,1
Two Wheeler Mechanic,two-wheeler-mechanic-jobs,1
Lift Technician,lift-technician-jobs,1
Aircraft Mechanic,aircraft-mechanic-jobs,1
ITI Mechanic,iti-mechanic-jobs,1
Mechanical Supervisor,mechanical-supervisor-jobs,1
E Rickshaw Mechanic,e-rickshaw-mechanic-jobs,1
Till Mechanic,till-mechanic-jobs,1
Driver,driver-jobs,1
Driver LMV,driver-lmv-jobs,1
Driver HMV,driver-hmv-jobs,1
Car Driver,car-driver-jobs,1
Two Wheeler Driver,two-wheeler-driver-jobs,1
Commercial Driver,commercial-driver-jobs,1
Rickshaw Driver,rickshaw-driver-jobs,1
Autorickshaw Driver,autorickshaw-driver-jobs,1
Auto Driver,auto-driver-jobs,1
Tractor Driver,tractor-driver-jobs,1
Bus Driver,bus-driver-jobs,1
Truck Driver,truck-driver-jobs,1
Private Driver,private-driver-jobs,1
Biker,biker-jobs,1
Driver Helper,driver-helper-jobs,1
Driver MVC,driver-mvc-jobs,1
Bike Driver,bike-driver-jobs,1
Six Wheeler Driver,six-wheeler-driver-jobs,1
Luxury Car Driver,luxury-car-driver-jobs,1
Ambulance Driver,ambulance-driver-jobs,1
LMV Driver,lmv-driver-jobs,1
Driving,driving-jobs,1
HMV Driver,hmv-driver-jobs,1
Automatic Vehicle Driver,automatic-vehicle-driver-jobs,1
Auto Rickshaw Driver,auto-rickshaw-driver-jobs,1
Cab Driver,cab-driver-jobs,1
Automatic Car Driver,automatic-car-driver-jobs,1
Tempo Driver,tempo-driver-jobs,1
Driver Loader,driver-loader-jobs,1
School Bus Driver,school-bus-driver-jobs,1
School Cab Driver,school-cab-driver-jobs,1
Vehicle Driver,vehicle-driver-jobs,1
BMW Driver,bmw-driver-jobs,1
Container Driver,container-driver-jobs,1
